row_id,community_area,location_type,location_name,address,latitude,longitude,population_2023,median_age,poverty_rate_pct,household_income_usd,income_measure,hardship_index,food_desert_flag,food_access_issue_type,low_income_flag,distance_to_nearest_supermarket_miles,food_insecurity_rate_pct_citywide_estimate,food_insecure_population_est,google_rating,google_rating_count,phone_number,place_id,category
CHI-011,Auburn Gresham,grocery_store,Aida Food Market,"7923 S Halsted St, Chicago, IL 60620",41.74993,-87.6439,45049,,27.6,37741,median_household_income,74,1,grocery_closure,1,,25,11262,4.2,275,+1 773-488-7780,ChIJMa65zm4vDogRrvnk9kE1QVg,independent_grocery
CHI-012,Austin,grocery_store,Austin Harvest,"423 N Laramie Ave, Chicago, IL 60644",41.88854,-87.755,98882,36.1,28.6,44883,median_household_income,73,1,food_desert_designation,1,,25,24720,5,3,Not listed,ChIJAarEDAAzDogR7zo61Cp6ZV4,community_market
CHI-013,Austin,grocery_store,Forty Acres Fresh Market,"5713 W Chicago Ave, Chicago, IL 60651",41.89457,-87.7684,98882,36.1,28.6,44883,median_household_income,73,1,food_desert_designation,1,,25,24720,4.9,241,+1 312-994-2920,ChIJBddaZjQzDogRZH9lyK9XqI4,independent_grocery
CHI-014,Austin,grocery_store,M&M Quick Foods,"1201 N Austin Blvd, Chicago, IL 60651",41.90226,-87.775,98882,36.1,28.6,44883,median_household_income,73,1,food_desert_designation,1,,25,24720,3.4,14,+1 312-671-9911,ChIJB-PBParMD4gRcgAgk4N4lzw,convenience_store
CHI-015,West Garfield Park,grocery_store,Save A Lot (Pulaski),"420 S Pulaski Rd, Chicago, IL 60624",41.87461,-87.7263,17433,34,41.7,29443,median_household_income,92,1,grocery_closure,1,,25,4358,3.7,741,+1 216-327-5515,ChIJNfdqWegyDogRaD16xJSnQUE,discount_grocery
CHI-016,West Garfield Park,grocery_store,Kostner Food Basket & Deli,"24 S Kostner Ave, Chicago, IL 60624",41.87975,-87.7356,17433,34,41.7,29443,median_household_income,92,1,grocery_closure,1,,25,4358,3.8,76,+1 773-287-8950,ChIJISaOod8yDogRI60na5j1krc,independent_grocery
CHI-017,West Garfield Park,grocery_store,Mountain 1 Foods,"3713 Roosevelt Rd, Chicago, IL 60624",41.86611,-87.7185,17433,34,41.7,29443,median_household_income,92,1,grocery_closure,1,,25,4358,4.4,70,+1 773-522-1760,ChIJC1EqlfIyDogRirgBS5Uea5w,independent_grocery
CHI-018,West Garfield Park,grocery_store,Madison Supermarket,"3824 W Madison St, Chicago, IL 60624",41.88092,-87.7218,17433,34,41.7,29443,median_household_income,92,1,grocery_closure,1,,25,4358,1.7,24,Not listed,ChIJUd8iZ8EyDogRRxauNVV1j5U,independent_grocery
CHI-019,West Garfield Park,grocery_store,Dearborn Wholesale Grocers,"4525 W Madison St, Chicago, IL 60624",41.88027,-87.7392,17433,34,41.7,29443,median_household_income,92,1,grocery_closure,1,,25,4358,4.3,218,+1 773-378-5353,ChIJ2VT_ACEzDogR9F59NGag3lo,wholesale_grocery
CHI-020,North Lawndale,grocery_store,Freshway Market,"3240 W Roosevelt Rd, Chicago, IL 60624",41.8674,-87.7073,31244,,43.1,37247,median_household_income,87,1,food_desert_designation,1,,25,7811,3.6,154,+1 773-533-4900,ChIJ7Tx_sA8zDogR6JP99OOG0og,independent_grocery
CHI-021,North Lawndale,grocery_store,Rigos Grocery,"2858 S Lawndale Ave, Chicago, IL 60623",41.83897,-87.7174,31244,,43.1,37247,median_household_income,87,1,food_desert_designation,1,,25,7811,4.5,125,+1 773-521-0459,ChIJHcYmIUAyDogRq4niERpGxj8,independent_grocery
CHI-022,North Lawndale,grocery_store,Fine Fair Food & Liquors,"3357 W 16th St, Chicago, IL 60623",41.85895,-87.71,31244,,43.1,37247,median_household_income,87,1,food_desert_designation,1,,25,7811,4,145,+1 773-521-7477,ChIJO5v1sokyDogRS-ErqqwyKWU,independent_grocery
CHI-023,North Lawndale,grocery_store,Cermak Grocery,"4156 W Cermak Rd, Chicago, IL 60623",41.85181,-87.7295,31244,,43.1,37247,median_household_income,87,1,food_desert_designation,1,,25,7811,4.1,51,+1 773-762-8004,ChIJD7jN2FAyDogRJsxukspUd3k,independent_grocery
CHI-024,South Lawndale,grocery_store,Food Market La Chiquita,"2637 S Pulaski Rd, Chicago, IL 60623",41.84335,-87.7242,68798,,30.7,42010,median_household_income,96,1,grocery_closure,1,,25,17200,4.1,1553,+1 773-542-0950,ChIJoUYOLEQyDogR4ClOu7w4dMQ,independent_grocery
CHI-025,South Lawndale,grocery_store,Cermak Fresh Market,"3311 W 26th St, Chicago, IL 60623",41.8439,-87.7083,68798,,30.7,42010,median_household_income,96,1,grocery_closure,1,,25,17200,4.2,1186,+1 773-762-2598,ChIJ-1S0O24yDogRvCqjjCxZX50,independent_grocery
CHI-026,South Lawndale,grocery_store,Pete's Fresh Market #6,"2526 W Cermak Rd, Chicago, IL 60608",41.85331,-87.6895,68798,,30.7,42010,median_household_income,96,1,grocery_closure,1,,25,17200,4.5,4304,+1 773-254-8400,ChIJ7Q0gh4MtDogRorzdifkRWuA,supermarket_chain
CHI-027,Englewood,food_pantry,THE CENTER of Englewood (Food Pantry),"838 W Marquette Rd, Chicago, IL 60621",41.77273,-87.6464,21411,31.1,46.6,22228,median_household_income,94,1,grocery_closure,1,0.52,25,5353,4.3,89,+1 773-351-3336,ChIJi4VZv7wvDogRSeLf2YdF9AY,food_pantry
CHI-028,Englewood,food_pantry,IMAN Food and Wellness Center,"1216 W 63rd St, Chicago, IL 60636",41.77976,-87.6552,21411,31.1,46.6,22228,median_household_income,94,1,grocery_closure,1,0.03,25,5353,4.2,22,+1 773-434-4626,ChIJ4XnH7IUvDogRQ12C3ga37No,food_pantry
CHI-029,Englewood,food_pantry,Shepherd's Hope - Food Distribution Center,"838 W Marquette Rd, Chicago, IL 60621",41.77273,-87.6464,21411,31.1,46.6,22228,median_household_income,94,1,grocery_closure,1,0.52,25,5353,4.3,18,Not listed,ChIJp4DaE-kuDogRGw5uJ6QB_uE,food_distribution
CHI-030,Englewood,food_pantry,Something Good in Englewood,"6701 S Emerald Ave, Chicago, IL 60621",41.77234,-87.6422,21411,31.1,46.6,22228,median_household_income,94,1,grocery_closure,1,0.52,25,5353,5,1,Not listed,ChIJk-hao0EvDogRtXemOGlz5bQ,community_org
CHI-031,Englewood,food_pantry,The Salvation Army Englewood Community Services,"945 W 69th St, Chicago, IL 60621",41.76847,-87.6489,21411,31.1,46.6,22228,median_household_income,94,1,grocery_closure,1,0.44,25,5353,4.7,15,+1 773-382-4600,ChIJSVWc-xovDogRwGpev4iePAI,food_pantry
CHI-032,Englewood,food_pantry,Teamwork Englewood,"815 W 63rd St #2, Chicago, IL 60621",41.7794,-87.6456,21411,31.1,46.6,22228,median_household_income,94,1,grocery_closure,1,0.09,25,5353,4.5,38,+1 773-488-6600,ChIJEZLzpuMuDogRvORfHj7R6os,community_org
CHI-033,Auburn Gresham,food_pantry,Auburn Gresham Community Service Center,"1140 W 79th St, Chicago, IL 60620",41.75071,-87.653,45049,,27.6,37741,median_household_income,74,1,grocery_closure,1,0.47,25,11262,4.2,67,+1 312-747-0200,ChIJcVoKTHEvDogRt-1n1H5Ga7I,community_service_center
CHI-034,Austin,food_pantry,Circle Urban Ministries (Food Pantry),"118 N Central Ave, Chicago, IL 60644",41.88292,-87.7654,98882,36.1,28.6,44883,median_household_income,73,1,food_desert_designation,1,0.66,25,24720,4.5,33,+1 773-921-1446,ChIJJRf0YEMzDogRi8ydbga9EDM,food_pantry
CHI-035,Austin,food_pantry,Westside Health Authority - Food Distribution Center,"5816 W Division St, Chicago, IL 60651",41.90221,-87.7711,98882,36.1,28.6,44883,median_household_income,73,1,food_desert_designation,1,0.2,25,24720,4.1,12,+1 773-786-0226,ChIJ22RACazMD4gRZixIlw1kgD0,food_distribution
CHI-036,Austin,food_pantry,Austin Coming Together,"5500 W Madison St, Chicago, IL 60644",41.88087,-87.7638,98882,36.1,28.6,44883,median_household_income,73,1,food_desert_designation,1,0.7,25,24720,4.6,16,+1 773-417-8601,ChIJTwyHUhEzDogR4YKa_cu9Bjs,community_org
CHI-037,North Lawndale,food_pantry,New Eclipse Community Alliance - Food Distribution Center,"715 W 51st St, Chicago, IL 60609",41.80142,-87.6437,31244,,43.1,37247,median_household_income,87,1,food_desert_designation,1,1.39,25,7811,4.3,40,+1 773-538-4957,ChIJAQCQVpEuDogRjJHNUQ9-5MU,food_distribution
CHI-038,North Lawndale,food_pantry,Vital Bridges,"4121 W Lake St, Chicago, IL 60624",41.88536,-87.7292,31244,,43.1,37247,median_household_income,87,1,food_desert_designation,1,0.49,25,7811,4.5,45,+1 773-826-7066,ChIJ0XE1-toyDogRXn1XBlLuZFo,food_pantry
CHI-039,North Lawndale,food_pantry,Pine Avenue Church Food Pantry,"1015 N Pine Ave, Chicago, IL 60651",41.89891,-87.7636,31244,,43.1,37247,median_household_income,87,1,food_desert_designation,1,0.39,25,7811,4,9,+1 773-287-4777,ChIJV3M8O7PMD4gRxU9DKzbFUqs,food_pantry
CHI-040,South Lawndale,food_pantry,Lawndale Community Outreach Services,"4522 W 16th St, Chicago, IL 60623",41.85879,-87.7382,68798,,30.7,42010,median_household_income,96,1,grocery_closure,1,0.66,25,17200,4,3,Not listed,ChIJo7PMFAAzDogR6JTai-xRbOo,food_distribution
CHI-041,South Lawndale,food_pantry,Harmony Community Baptist Church - Food Distribution Center,"1908 S Millard Ave, Chicago, IL 60623",41.85473,-87.7167,68798,,30.7,42010,median_household_income,96,1,grocery_closure,1,0.45,25,17200,4.5,6,+1 773-762-9673,ChIJ___Ph2AyDogRsPpJPfYD9Fg,food_pantry
CHI-042,South Lawndale,food_pantry,Manna Food Pantry,"1230 S Millard Ave, Chicago, IL 60623",41.86526,-87.7168,68798,,30.7,42010,median_household_income,96,1,grocery_closure,1,0.1,25,17200,4.1,11,Not listed,ChIJFzCkL40yDogRfPY6w28GsL0,food_pantry
CHI-043,South Lawndale,food_pantry,New Life Centers,"2657 S Lawndale Ave, Chicago, IL 60623",41.84269,-87.717,68798,,30.7,42010,median_household_income,96,1,grocery_closure,1,0.26,25,17200,4.8,34,+1 312-736-2466,ChIJ3yYkiTDND4gRzM0R9QUpkq4,community_org
CHI-044,South Lawndale,food_pantry,Jireh Food Pantry,"4224 W 13th St, Chicago, IL 60623",41.8644,-87.731,68798,,30.7,42010,median_household_income,96,1,grocery_closure,1,0.66,25,17200,5,4,+1 773-762-2432,ChIJq6p6l_syDogRx4yH04Nvyes,food_pantry
CHI-045,"Regional (multi-area, McKinley Park HQ)",food_pantry,Greater Chicago Food Depository,"4100 W Ann Lurie Pl, Chicago, IL 60632",41.8181,-87.7268,,,,,,,,not_area_specific,,1.52,25,,4.6,707,+1 773-247-3663,ChIJY4BbbIgxDogRX4UHg4L07uk,regional_food_bank
